date,yr,f,sic
20240813,2024,updown_vol,0.08394524758060959
20240813,2024,pv_corr,-0.01436145505333297
20240813,2024,vol_surge,0.028027365661220265
20240813,2024,obv63,0.08305426056943989
20240813,2024,amihud,-0.051220161045211744
20240813,2024,vol_cv,0.06716701001301274
20240911,2024,updown_vol,-0.12912641371441386
20240911,2024,pv_corr,-0.07169168022714119
20240911,2024,vol_surge,-0.021442118132179333
20240911,2024,obv63,-0.12838780162726462
20240911,2024,amihud,-0.16441246984832766
20240911,2024,vol_cv,0.09746405413846405
20241009,2024,updown_vol,-0.0774130742150744
20241009,2024,pv_corr,0.062249661770025506
20241009,2024,vol_surge,-0.15969252201003753
20241009,2024,obv63,-0.07587338240381163
20241009,2024,amihud,0.08675115324801619
20241009,2024,vol_cv,-0.03393627690780144
20241106,2024,updown_vol,0.0852049963192966
20241106,2024,pv_corr,-0.012541044401354201
20241106,2024,vol_surge,0.010716081797031325
20241106,2024,obv63,0.0850135922872543
20241106,2024,amihud,-0.15000869162069538
20241106,2024,vol_cv,0.13199498558555123
20241205,2024,updown_vol,0.04033417754476527
20241205,2024,pv_corr,-0.033501168241010904
20241205,2024,vol_surge,0.0964500802556668
20241205,2024,obv63,0.040446038689811434
20241205,2024,amihud,0.035859440619514016
20241205,2024,vol_cv,-0.023711369163879493
20250106,2025,updown_vol,-0.07668246590210669
20250106,2025,pv_corr,-0.05568741511502721
20250106,2025,vol_surge,-0.09444020450283175
20250106,2025,obv63,-0.07728991331895868
20250106,2025,amihud,-0.20218934256434895
20250106,2025,vol_cv,0.1606691101063346
20250205,2025,updown_vol,-0.1611101611640621
20250205,2025,pv_corr,-0.20730181010092985
20250205,2025,vol_surge,0.05515985723244647
20250205,2025,obv63,-0.16201330876319456
20250205,2025,amihud,-0.1680514584378729
20250205,2025,vol_cv,0.19524103091929843
20250306,2025,updown_vol,0.10077080027994022
20250306,2025,pv_corr,-0.08828853751627602
20250306,2025,vol_surge,0.12146165586133138
20250306,2025,obv63,0.10014808112826623
20250306,2025,amihud,-0.1465642302564862
20250306,2025,vol_cv,0.1742210847874309
20250403,2025,updown_vol,-0.1672559568167606
20250403,2025,pv_corr,-0.1298973721667091
20250403,2025,vol_surge,-0.09615246537972996
20250403,2025,obv63,-0.1679238078675917
20250403,2025,amihud,-0.026668247500255322
20250403,2025,vol_cv,-0.05797739533080033
20250502,2025,updown_vol,-0.010009379429885848
20250502,2025,pv_corr,-0.04242768282411519
20250502,2025,vol_surge,-0.050179776743915654
20250502,2025,obv63,-0.010767829107578585
20250502,2025,amihud,-0.10018865254631695
20250502,2025,vol_cv,0.03737943367339949
20250602,2025,updown_vol,-0.16458805973993645
20250602,2025,pv_corr,-0.061197936586181126
20250602,2025,vol_surge,-0.057568953084320994
20250602,2025,obv63,-0.16463348003556563
20250602,2025,amihud,-0.04164160367807595
20250602,2025,vol_cv,0.09002988157295291
20250701,2025,updown_vol,0.04093627348285688
20250701,2025,pv_corr,-0.03208475626383059
20250701,2025,vol_surge,-0.002243023230409363
20250701,2025,obv63,0.04242982221952257
20250701,2025,amihud,-0.08621317279248066
20250701,2025,vol_cv,-0.006530952754833419
20250730,2025,updown_vol,-0.0699210352961105
20250730,2025,pv_corr,-0.015268026488889457
20250730,2025,vol_surge,0.015054078438029217
20250730,2025,obv63,-0.06842783628957265
20250730,2025,amihud,0.03529762466442701
20250730,2025,vol_cv,0.049711115431143975
20250827,2025,updown_vol,0.08034237683851803
20250827,2025,pv_corr,0.08244991364130543
20250827,2025,vol_surge,0.008421367003991806
20250827,2025,obv63,0.0799773344139287
20250827,2025,amihud,-0.026265535987703113
20250827,2025,vol_cv,0.011157315236990298
20250925,2025,updown_vol,-0.013002004378360682
20250925,2025,pv_corr,-0.012723289075565757
20250925,2025,vol_surge,0.03496652305235882
20250925,2025,obv63,-0.0132829743092246
20250925,2025,amihud,-0.12752764017015933
20250925,2025,vol_cv,0.06294708739270906
20251023,2025,updown_vol,-0.000401171734322149
20251023,2025,pv_corr,-0.10882979960046484
20251023,2025,vol_surge,0.09583046974561606
20251023,2025,obv63,-0.0014500973572537628
20251023,2025,amihud,-0.1348316420707802
20251023,2025,vol_cv,0.20108087580641829
20251120,2025,updown_vol,-0.07053843044000396
20251120,2025,pv_corr,-0.021922771160497293
20251120,2025,vol_surge,-0.08935902640131546
20251120,2025,obv63,-0.07108933137900537
20251120,2025,amihud,-0.0009283519616766677
20251120,2025,vol_cv,-0.041231107814200474
20251219,2025,updown_vol,0.0003903243376922553
20251219,2025,pv_corr,0.011551120186328404
20251219,2025,vol_surge,0.022788839149207523
20251219,2025,obv63,0.000872264001496612
20251219,2025,amihud,-0.03847501034866464
20251219,2025,vol_cv,0.10866367416340036
20260121,2026,updown_vol,0.07602419571184386
20260121,2026,pv_corr,-0.026490259943125188
20260121,2026,vol_surge,0.07827128546752381
20260121,2026,obv63,0.07575727929770086
20260121,2026,amihud,-0.12218551482657729
20260121,2026,vol_cv,0.1773330732624992
20260219,2026,updown_vol,-0.0667651778294781
20260219,2026,pv_corr,-0.10432479843817725
20260219,2026,vol_surge,0.09202269745907517
20260219,2026,obv63,-0.0669121019926682
20260219,2026,amihud,-0.02960412460939736
20260219,2026,vol_cv,0.02021521681958133
20260319,2026,updown_vol,-0.11650815803350026
20260319,2026,pv_corr,0.010790338885061767
20260319,2026,vol_surge,-0.052351812122314406
20260319,2026,obv63,-0.11634476468438501
20260319,2026,amihud,0.08280760478793646
20260319,2026,vol_cv,0.00996241944844784
20260417,2026,updown_vol,0.11874093530396762
20260417,2026,pv_corr,0.017825861234401174
20260417,2026,vol_surge,0.08417302122390027
20260417,2026,obv63,0.11944041464501005
20260417,2026,amihud,-0.02314154850821713
20260417,2026,vol_cv,-0.0016544050617743713
20260515,2026,updown_vol,-0.09400133335460738
20260515,2026,pv_corr,-0.05260894236220025
20260515,2026,vol_surge,0.04457586787251788
20260515,2026,obv63,-0.09461135450105124
20260515,2026,amihud,-0.07139353852757284
20260515,2026,vol_cv,0.11295898036276786
